symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days
TSLA,2024-01-22,208.8000030517578,2024-01-25,182.6300048828125,47,-1229.9899139404297,-12.533523844086455,Stop Loss,3
AAPL,2024-02-13,183.72067260742188,2024-03-05,168.90704345703125,52,-770.3087158203125,-8.06312590747188,Stop Loss,21
TSLA,2024-01-25,182.6300048828125,2024-03-14,162.5,52,-1046.76025390625,-11.022287874179954,Stop Loss,49
INTC,2024-02-08,42.061256408691406,2024-04-05,38.31037902832031,228,-855.2000427246094,-8.917654156417505,Stop Loss,57
AMD,2024-04-05,170.4199981689453,2024-04-17,154.02000427246094,51,-836.3996887207031,-9.62328017409453,Stop Loss,12
TSLA,2024-03-14,162.5,2024-04-19,147.0500030517578,55,-849.7498321533203,-9.5076904296875,Stop Loss,36
INTC,2024-04-17,35.31166076660156,2024-04-26,31.55088996887207,238,-895.0634498596191,-10.650223512813366,Stop Loss,9
AAPL,2024-03-05,168.90704345703125,2024-05-07,181.0994873046875,55,670.5844116210938,7.218434233477019,RSI Exit,63
IBM,2024-04-26,159.5447998046875,2024-05-21,167.24090576171875,49,377.10919189453125,4.823789911330683,RSI Exit,25
ADBE,2024-04-19,465.0199890136719,2024-06-20,522.9500122070312,17,984.8103942871094,12.457533990362766,RSI Exit,62
AMZN,2024-05-24,180.75,2024-06-21,189.0800018310547,45,374.85008239746094,4.608576393391252,RSI Exit,28
INTC,2024-05-07,30.486604690551758,2024-07-08,33.77574157714844,264,868.3321380615234,10.78879370130722,RSI Exit,62
AMZN,2024-07-18,183.75,2024-08-02,167.89999389648438,48,-760.80029296875,-8.62585366177721,Stop Loss,15
INTC,2024-08-02,21.3445987701416,2024-08-07,18.989999771118164,406,-955.9671936035156,-11.031357508191835,Stop Loss,5
NFLX,2024-07-18,643.0399780273438,2024-08-16,674.0700073242188,13,403.390380859375,4.825521018470102,RSI Exit,29
ADBE,2024-07-24,531.0399780273438,2024-08-23,558.2999877929688,16,436.16015625,5.133325341509666,RSI Exit,30
INTC,2024-08-07,18.989999771118164,2024-08-30,22.040000915527344,440,1342.000503540039,16.061091001422326,Take Profit,23
META,2024-09-06,498.2265930175781,2024-09-19,557.3474731445312,18,1064.1758422851562,11.866263454320926,RSI Exit,13
CRM,2024-09-05,244.25575256347656,2024-09-23,262.620361328125,37,679.4905242919922,7.5185982610075435,RSI Exit,18
GOOGL,2024-09-06,150.0582275390625,2024-09-26,162.01548767089844,60,717.4356079101562,7.968413547150073,RSI Exit,20
TSLA,2024-10-14,219.16000366210938,2024-10-24,260.4800109863281,45,1859.4003295898438,18.853808465856755,Take Profit,10
MSFT,2024-10-07,406.48828125,2024-10-25,424.9595947265625,24,443.3115234375,4.544119554876467,RSI Exit,18
AMD,2024-10-24,153.44000244140625,2024-11-04,140.7100067138672,68,-865.6397094726562,-8.296399586151097,Stop Loss,11
ADBE,2024-09-27,515.47998046875,2024-11-12,526.4199829101562,19,207.86004638671875,2.122294338464511,RSI Exit,46
IBM,2024-10-28,207.05996704101562,2024-11-21,217.99380493164062,51,557.625732421875,5.280517546136363,RSI Exit,24
AAPL,2024-11-04,220.98153686523438,2024-11-26,234.22850036621094,46,609.3603210449219,5.994601942267795,RSI Exit,22
INTC,2024-12-04,21.959999084472656,2024-12-10,20.15999984741211,493,-887.3996238708496,-8.196718178978795,Stop Loss,6
AMD,2024-11-15,134.89999389648438,2024-12-18,121.41000366210938,77,-1038.729248046875,-9.999993213288471,Stop Loss,33
ADBE,2024-12-17,455.2300109863281,2025-01-10,405.9200134277344,23,-1134.1299438476562,-10.831886380196202,Stop Loss,24
CSCO,2024-12-18,56.08371353149414,2025-01-21,59.901145935058594,181,690.955265045166,6.806668394775163,RSI Exit,34
ADBE,2025-01-10,405.9200134277344,2025-01-30,446.0,24,961.919677734375,9.873863137177155,RSI Exit,20
TSLA,2025-02-07,361.6199951171875,2025-02-11,328.5,28,-927.35986328125,-9.1587842388125,Stop Loss,4
INTC,2024-12-10,20.15999984741211,2025-02-13,24.1299991607666,523,2076.3096408843994,19.692457060529748,Take Profit,65
AAPL,2025-01-21,221.85244750976562,2025-02-24,246.49664306640625,45,1108.9888000488281,11.108372178565135,RSI Exit,34
TSLA,2025-02-11,328.5,2025-02-26,290.79998779296875,30,-1131.0003662109375,-11.476411630755328,Stop Loss,15
CRM,2025-02-26,305.8294982910156,2025-03-10,271.5675964355469,35,-1199.1665649414062,-11.202942177561445,Stop Loss,12
GOOGL,2025-02-24,178.66749572753906,2025-03-11,163.6952362060547,62,-928.2800903320312,-8.379957115600078,Stop Loss,15
TSLA,2025-03-11,230.5800018310547,2025-03-24,278.3900146484375,43,2055.830551147461,20.73467448942648,Take Profit,13
MSFT,2025-02-13,408.29644775390625,2025-03-31,374.087158203125,26,-889.4415283203125,-8.378542046831699,Stop Loss,46
CRM,2025-03-10,271.5675964355469,2025-04-04,239.5845184326172,38,-1215.3569641113281,-11.777207009496976,Stop Loss,25
ADBE,2025-04-01,383.20001220703125,2025-04-04,349.07000732421875,27,-921.5101318359375,-8.906577190914362,Stop Loss,3
INTC,2025-04-04,19.850000381469727,2025-04-08,18.1299991607666,489,-841.0805969238281,-8.664993388658933,Stop Loss,4
INTC,2025-04-08,18.1299991607666,2025-04-09,21.530000686645508,520,1768.0007934570312,18.75345660928945,Take Profit,1
ADBE,2025-04-14,350.9100036621094,2025-05-01,374.6300048828125,28,664.1600341796875,6.759568257718601,RSI Exit,17
CRM,2025-04-04,239.5845184326172,2025-05-07,277.306640625,40,1508.8848876953125,15.744807902933056,Take Profit,33
NVDA,2025-04-03,101.78720092773438,2025-05-08,117.35523986816406,102,1587.9399719238281,15.294692062003445,Take Profit,35
TSLA,2025-06-05,284.70001220703125,2025-06-16,329.1300048828125,39,1732.7697143554688,15.605897706626076,Take Profit,11
INTC,2025-06-02,19.739999771118164,2025-07-01,22.850000381469727,571,1775.8103485107422,15.75481583795073,Take Profit,29
ADBE,2025-06-18,378.0400085449219,2025-08-04,338.8500061035156,31,-1214.8900756835938,-10.366628281553794,Stop Loss,47
CRM,2025-06-02,260.7517395019531,2025-08-11,232.27552795410156,43,-1224.4770965576172,-10.920813645286637,Stop Loss,70
INTC,2025-08-04,19.5,2025-08-14,23.860000610351562,617,2690.120376586914,22.358977488982372,Take Profit,10
CRM,2025-08-14,232.96432495117188,2025-08-29,255.8045654296875,53,1210.5327453613281,9.804179452498927,RSI Exit,15
IBM,2025-08-11,236.3000030517578,2025-09-08,256.0899963378906,49,969.7096710205078,8.374944151734997,RSI Exit,28
ORCL,2025-08-29,225.73826599121094,2025-09-10,327.7611999511719,57,5815.307235717773,45.19523241306956,Take Profit,12
AMD,2025-09-08,151.41000366210938,2025-10-01,164.00999450683594,87,1096.199203491211,8.321769064113518,RSI Exit,23
NFLX,2025-07-18,1209.239990234375,2025-10-17,1199.3599853515625,10,-98.800048828125,-0.8170425194834614,End of Backtest,91
AMZN,2025-09-26,219.77999877929688,2025-10-17,213.0399932861328,69,-465.0603790283203,-3.0667055831283254,End of Backtest,21
META,2025-10-03,710.5599975585938,2025-10-17,716.9199829101562,21,133.5596923828125,0.8950666197667632,End of Backtest,14
